Team,Year,Total,Home,Away
Baltimore Ravens,2018,"1,053,383","563,451","489,932"
Buffalo Bills,2018,"1,072,899","519,695","553,204"
Carolina Panthers,2018,"1,102,756","590,182","512,574"
Chicago Bears,2018,"1,045,568","490,750","554,818"
Cincinnati Bengals,2018,"911,289","406,028","505,261"
Cleveland Browns,2018,"1,045,441","526,122","519,319"
Dallas Cowboys,2018,"1,303,393","732,958","570,435"
Denver Broncos,2018,"1,092,324","611,571","480,753"
Detroit Lions,2018,"1,054,328","502,061","552,267"
Green Bay Packers,2018,"1,163,842","622,677","541,165"
Houston Texans,2018,"1,112,480","574,439","538,041"
Indianapolis Colts,2018,"1,006,361","473,598","532,763"
Jacksonville Jaguars,2018,"1,109,899","552,589","557,310"
Kansas City Chiefs,2018,"1,107,376","607,780","499,596"
Los Angeles Chargers,2018,"803,556","262,145","541,411"
Los Angeles Rams,2018,"1,102,409","579,439","522,970"
Miami Dolphins,2018,"1,062,180","524,480","537,700"
Minnesota Vikings,2018,"1,090,834","534,491","556,343"
New England Patriots,2018,"1,068,530","527,024","541,506"
New Orleans Saints,2018,"1,147,700","584,411","563,289"
New York Giants,2018,"1,183,132","615,525","567,607"
New York Jets,2018,"1,130,823","623,856","506,967"
Las Vegas Raiders,2018,"955,258","463,353","491,905"
Philadelphia Eagles,2018,"1,149,737","557,568","592,169"
Pittsburgh Steelers,2018,"1,040,509","507,651","532,858"
San Francisco 49ers,2018,"1,052,454","553,190","499,264"
Seattle Seahawks,2018,"1,114,327","552,009","562,318"
Tampa Bay Buccaneers,2018,"999,843","434,855","564,988"
Tennessee Titans,2018,"1,092,094","516,161","575,933"
Washington Commanders,2018,"1,043,167","488,227","554,940"
Arizona Cardinals,2019,"1,000,509","490,586","509,923"
Atlanta Falcons,2019,"1,099,463","572,811","526,652"
Baltimore Ravens,2019,"1,091,363","565,020","526,343"
Buffalo Bills,2019,"1,123,350","550,713","572,637"
Carolina Panthers,2019,"1,122,333","577,765","544,568"
Chicago Bears,2019,"1,051,152","495,332","555,820"
Cincinnati Bengals,2019,"907,640","377,432","530,208"
Cleveland Browns,2019,"1,075,124","539,448","535,676"
Dallas Cowboys,2019,"1,289,027","727,432","561,595"
Denver Broncos,2019,"1,104,191","607,497","496,694"
Detroit Lions,2019,"1,011,888","490,737","521,151"
Green Bay Packers,2019,"1,154,661","622,762","531,899"
Houston Texans,2019,"1,075,836","574,345","501,491"
Indianapolis Colts,2019,"965,049","488,886","476,163"
Jacksonville Jaguars,2019,"1,014,675","504,686","509,989"
Kansas City Chiefs,2019,"1,115,771","587,723","528,048"
Los Angeles Chargers,2019,"760,644","254,007","506,637"
Los Angeles Rams,2019,"1,147,715","582,325","565,390"
Miami Dolphins,2019,"1,067,487","504,540","562,947"
Minnesota Vikings,2019,"1,070,025","534,794","535,231"
New England Patriots,2019,"1,087,904","527,024","560,880"
New Orleans Saints,2019,"1,117,057","584,660","532,397"
New York Giants,2019,"1,143,109","597,316","545,793"
New York Jets,2019,"1,116,711","628,184","488,527"
Las Vegas Raiders,2019,"961,146","428,311","532,835"
Philadelphia Eagles,2019,"1,139,525","558,268","581,257"
Pittsburgh Steelers,2019,"986,590","497,896","488,694"
San Francisco 49ers,2019,"1,080,454","562,443","518,011"
Seattle Seahawks,2019,"1,101,649","551,927","549,722"
Tampa Bay Buccaneers,2019,"949,068","415,189","533,879"
Tennessee Titans,2019,"1,047,496","516,074","531,422"
Washington Commanders,2019,"1,101,466","523,906","577,560"
Arizona Cardinals,2021,"1,090,961","500,981","589,980"
Atlanta Falcons,2021,"1,173,982","540,764","633,218"
Baltimore Ravens,2021,"1,141,157","634,840","506,317"
Buffalo Bills,2021,"1,093,983","610,352","483,631"
Carolina Panthers,2021,"1,202,133","575,249","626,884"
Chicago Bears,2021,"1,079,841","486,675","593,166"
Cincinnati Bengals,2021,"1,056,115","542,929","513,186"
Cleveland Browns,2021,"1,092,573","539,448","553,125"
Dallas Cowboys,2021,"1,366,866","747,368","619,498"
Denver Broncos,2021,"1,243,881","686,129","557,752"
Detroit Lions,2021,"1,027,002","412,177","614,825"
Green Bay Packers,2021,"1,187,232","623,929","563,303"
